"id","job_id","file_name","file_url","file_type","file_size","mime_type","uploaded_by","uploaded_at","notes"
"aa36a021-126e-4622-8aac-90a4a11019fd","ad90b3e1-b34a-4764-957a-6aed15b3de28","R6260-INS-F25.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/b6d9e0c0-3d6f-4b20-9409-7585bfa474d2","artwork","7161745","application/pdf","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-10-09T17:33:29.561Z""",
"af019b0b-033a-46fe-bf6f-060aa00a268e","573e9aad-0c7c-408b-ab7b-f28fc2d20b11","BISS_Advent Calendar25_11x6_F.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/9c0020c6-e494-46c6-9413-d731e1e8378b","artwork","4877111","application/pdf","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-09-12T18:42:33.632Z""",
"b9272ec2-e284-4027-ac4d-7f689d310930","4ce6d748-2c57-4591-bcb3-0c111a54cced","Bradford_PO_1227425_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/cf1d9c2e-13dc-4f94-a617-0741757aa34b","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-08T15:58:25.566Z""",
"c7c7c325-743d-4073-b464-8ff7788974d7","5afadf71-3c25-44b7-b75d-d6699912049a","Bradford_PO_1227426_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/8acb255f-cbf6-4632-b63f-795b69193cd8","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-08T16:00:59.573Z""",
"cb13911b-638b-49c3-910c-236183d4c466","6a846470-ee73-4ccf-9b6c-31c3c10d499b","Charter Facility- Starterbox Studios- IL, MN OH.xlsx","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/1a4fcc92-698e-4416-8b9f-7fb4b49d84dc","data","565502","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","aa1c746b-bee6-448c-9112-cf6f8531da6e","""2025-10-09T15:44:24.513Z""",
"dce09848-a7bb-4d54-b383-73c20b1629cc","6a846470-ee73-4ccf-9b6c-31c3c10d499b","Screenshot 2025-09-02 at 10.52.11 AM.png","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/8814579e-94ed-48c6-bcb3-33546288ef5a","artwork","1277829","image/png","aa1c746b-bee6-448c-9112-cf6f8531da6e","""2025-10-09T15:43:55.031Z""",
"e4914b54-d19d-41ee-b41a-7bfa39afd01b","ad90b3e1-b34a-4764-957a-6aed15b3de28","MA1JKT-INS-F25.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/01867a80-19fe-4965-9d95-331aed84f657","artwork","12872814","application/pdf","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-10-09T17:33:24.536Z""",
"f7332d94-7596-42f0-bf89-0c4c4aa4dae3","573e9aad-0c7c-408b-ab7b-f28fc2d20b11","CE.Halloween.2025.6x9.postcard.8.25.25 (1).pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/28242eec-158a-4ca1-bbfd-baa8042e6914","po","127482","application/pdf","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-09-25T16:52:48.264Z""",
"f914a257-8ca8-4bac-8490-87709f461204","4569215c-07e7-4e4a-b579-70287ce64964","NaomiWhittel_November_Count_Breakdown.csv","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/1b5706d4-638c-4e52-b6b2-effcb66092bd","data","283","text/csv","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-10-06T20:12:20.795Z""",
"fcc0ef59-2a6f-452b-87e0-2edb5f8f0b1d","63b5341d-813a-4e67-b1f0-466df38bd20f","Bradford_PO_1227431_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/f63a4430-f5e1-4261-b46a-eedf8e72e0d8","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-09T19:22:20.133Z""",
"fd448d89-509b-41bc-968d-5b041cb3ef9e","0685e7ff-ef07-4ba7-b646-bbaf9a10d141","Bradford_PO_BPO-2025-678647_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/abdb714d-9df7-4ea5-ad73-df205829a9f3","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-07T19:51:19.011Z""",
"fedd12ff-f056-4fd2-b8a6-129f686c7ff3","ad90b3e1-b34a-4764-957a-6aed15b3de28","Bradford_PO_1227440_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/0e3c4979-3ecf-4059-8c57-29d01ffb988b","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-13T15:09:36.768Z""",
"ff116bbb-828d-4dc4-a52e-95d5a4b4b9a0","4569215c-07e7-4e4a-b579-70287ce64964","Bradford_PO_1227436_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/c9d3966b-1544-4270-8ed3-c167ffaceb09","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-10T14:50:09.626Z""",
